,,,,,,,
Index,Rank,Name,Industry, Revenue (USD millions) ,Revenue growth, Employees ,Headquarters
0,1,Walmart,Retail," $648,125 ",6%," 2,100,000 ","Bentonville, Arkansas"
1,2,Amazon,Retail and cloud computing," $574,785 ",12%," 1,525,000 ","Seattle, Washington"
2,3,Apple,Electronics industry," $383,482 ",-3%," 161,000 ","Cupertino, California"
3,4,UnitedHealth Group,Healthcare," $371,622 ",15%," 440,000 ","Minnetonka, Minnesota"
4,5,Berkshire Hathaway,Conglomerate," $364,482 ",21%," 396,500 ","Omaha, Nebraska"
5,6,CVS Health,Healthcare," $357,776 ",11%," 259,500 ","Woonsocket, Rhode Island"
6,7,ExxonMobil,Petroleum industry," $344,582 ",-17%," 61,500 ","Spring, Texas"
7,8,Alphabet,Technology and cloud computing," $307,394 ",9%," 182,502 ","Mountain View, California"
8,9,McKesson Corporation,Health," $276,711 ",5%," 48,000 ","Irving, Texas"
9,10,Cencora,Pharmacy wholesale," $262,173 ",10%," 44,000 ","Conshohocken, Pennsylvania"
10,11,Costco,Retail," $242,290 ",7%," 316,000 ","Issaquah, Washington"
11,12,JPMorgan Chase,Financial services," $239,425 ",55%," 309,926 ","New York City, New York"
12,13,Microsoft,Technology and cloud computing," $211,915 ",7%," 221,000 ","Redmond, Washington"
13,14,Cardinal Health,Healthcare," $205,012 ",13%," 47,520 ","Dublin, Ohio"
14,15,Chevron Corporation,Petroleum industry," $200,949 ",-18%," 45,600 ","San Ramon, California"
15,16,Cigna,Health insurance," $195,265 ",8%," 71,413 ","Bloomfield, Connecticut"
16,17,Ford Motor Company,Automotive industry," $176,191 ",12%," 177,000 ","Dearborn, Michigan"
17,18,Bank of America,Financials," $171,912 ",49%," 212,985 ","Charlotte, North Carolina"
18,19,General Motors,Automotive industry," $171,842 ",10%," 163,000 ","Detroit, Michigan"
19,20,Elevance Health,Healthcare," $171,340 ",9%," 104,900 ","Indianapolis, Indiana"
20,21,Citigroup,Financials," $156,820 ",55%," 237,925 ","New York City, New York"
21,22,Centene,Healthcare," $153,999 ",7%," 67,700 ","St. Louis, Missouri"
22,23,The Home Depot,Retail," $152,669 ",-3%," 463,100 ","Atlanta, Georgia"
23,24,Marathon Petroleum,Petroleum industry," $150,307 ",-17%," 18,200 ","Findlay, Ohio"
24,25,Kroger,Retail," $150,039 ",-4%," 414,000 ","Cincinnati, Ohio"
25,26,Phillips 66,Petroleum industry," $149,890 ",-15%," 14,000 ","Houston, Texas"
26,27,Fannie Mae,Financials," $141,240 ",16%," 8,100 ","Washington, D.C."
27,28,Walgreens Boots Alliance,Pharmaceutical industry," $139,081 ",5%," 268,500 ","Deerfield, Illinois"
28,29,Valero Energy,Petroleum industry," $139,001 ",-19%," 9,987 ","San Antonio, Texas"
